39,1,U6,9DB403DGLFT,mouse:TSSOP28,mouse:TSSOP-24,,,,,,0,,,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,,0,0,
40,6,"U7, U8, U9, U10, U11, U12",RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,15.720000000000001,1.3100000000000001,RND 135-00249,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,50,38,49.780000000000001,https://www.elfa.se/en/rgb-smd-led-0606-468nm-520nm-632nm-rnd-components-rnd-135-00249/p/30158844?track=true&no-cache=true&marketingPopup=false
,,,,,,,,,,,,,,,,,,
price per mouse if comon order,297.89800000000002,,,,,,,,,,,,,,,,,
Price per mouse if not,574.62,,,,,,,,,,,,,,,,,
price pcb,160,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total price if comon order,Total price if not,,,,,,,,,,,,,,,,,
457.89800000000002,860.56500000000005,,,,,,,,,,,,,,,,,
